model,dimension,group,hit_rate,pval,n,flagged,flag_reason
lstm_regime,ticker,QQQ,0.5433962264150943,0.050518929050396254,530,False,
lstm_regime,ticker,SPY,0.5291902071563088,0.19290586196349788,531,False,
lstm_regime,ticker,TLT,0.4867924528301887,0.5723300851038328,530,False,
lstm_regime,ticker,USO,0.5641509433962264,0.003571368490036594,530,False,
lstm_regime,ticker,XLB,0.6226415094339622,1.7940207663466346e-08,530,False,
lstm_regime,ticker,XLC,0.6849056603773584,1.0401164071430889e-17,530,False,
lstm_regime,ticker,XLE,0.5264150943396226,0.240846368925329,530,False,
lstm_regime,ticker,XLF,0.630188679245283,2.178525880543933e-09,530,False,
lstm_regime,ticker,XLI,0.5735849056603773,0.0008079279332228282,530,False,
lstm_regime,ticker,XLK,0.6377358490566037,2.3311723803172557e-10,530,False,
lstm_regime,ticker,XLP,0.4679245283018868,0.15166761420367042,530,False,
lstm_regime,ticker,XLRE,0.5599284436493739,0.005200526930366001,559,False,
lstm_regime,ticker,XLU,0.481216457960644,0.3976232155395216,559,False,
lstm_regime,ticker,XLV,0.5080500894454383,0.7351226938462944,559,False,
lstm_regime,ticker,XLY,0.5867620751341681,4.704488849777546e-05,559,False,
lstm_regime,regime,crisis,0.5035345296356716,0.7796188324508478,1839,False,
lstm_regime,regime,neutral,0.5302786709539121,0.0002294946776542825,3732,False,
lstm_regime,regime,risk_off,0.5758226037195995,1.5702365741260364e-08,1398,False,
lstm_regime,regime,risk_on,0.514324693042292,0.08580205585817534,3665,False,
pca_base,year,2023,0.48095238095238096,0.2847918536868603,840,False,
pca_base,year,2024,0.5034013605442177,0.6304316409830033,5292,False,
pca_base,year,2025,0.540952380952381,3.1425932389824797e-09,5250,False,
pca_base,year,2026,0.4362714013950539,4.5864423671371303e-07,1577,True,hit_rate < 0.45
pca_base,ticker,DBA,0.42949756888168555,0.0005255123484288091,617,True,hit_rate < 0.45
pca_base,ticker,GLD,0.4683954619124797,0.12599214194956404,617,False,
pca_base,ticker,HYG,0.5170178282009724,0.4207439823475771,617,False,
pca_base,ticker,IEF,0.5040518638573744,0.8720833976311518,617,False,
pca_base,ticker,IWM,0.5105348460291734,0.6290590742036524,617,False,
pca_base,ticker,LQD,0.5559157212317666,0.006144135863105765,617,False,
pca_base,ticker,QQQ,0.5380875202593193,0.06395423790479676,617,False,
pca_base,ticker,SPY,0.5460420032310178,0.024318137821620196,619,False,
pca_base,ticker,TLT,0.5186385737439222,0.37580044806952206,617,False,
